sample-id	alias	compartment	env_biome	plant_id	cultivar	collection_date	geo_loc_name
SRR1524662	GHRun1	Rhizosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Sacramento, California
SRR1524663	FieldRun1	Endosphere	Rice Paddy	7		2013-07-08	USA: California, Central Valley
SRR1524664	GHRun1	Rhizoplane	Greenhouse Soil		Glab_B	2013-05-06	USA: Sacramento, California
SRR1524665	FieldRun1	Rhizosphere	Rice Paddy	8		2013-07-08	USA: California, Central Valley
SRR1524666	GHRun1	Endosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Sacramento, California
SRR1524667	GHRun1	Pre_planting	Greenhouse Soil		Soil	2013-05-06	USA: Sacramento, California
SRR1524668	FieldRun1	Rhizoplane	Rice Paddy	8		2013-07-08	USA: California, Central Valley
SRR1524669	GHRun1	Pre_planting	Greenhouse Soil		Soil	2013-05-06	USA: Sacramento, California
SRR1524670	FieldRun1	Endosphere	Rice Paddy	8		2013-07-08	USA: California, Central Valley
SRR1524671	GHRun1	Pre_planting	Greenhouse Soil		Soil	2013-05-06	USA: Arbuckle, California
SRR1524672	GHRun1	Pre_planting	Greenhouse Soil		Soil	2013-05-06	USA: Arbuckle, California
SRR1524673	FieldRun1	Rhizosphere	Rice Paddy	1		2013-07-08	USA: California, Central Valley
SRR1524674	FieldRun1	Rhizoplane	Rice Paddy	1		2013-07-08	USA: California, Central Valley
SRR1524675	FieldRun1	Endosphere	Rice Paddy	1		2013-07-08	USA: California, Central Valley
SRR1524676	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Arbuckle, California
SRR1524677	FieldRun1	Rhizosphere	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524678	GHRun1	Rhizosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Arbuckle, California
SRR1524679	FieldRun1	Rhizoplane	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524680	GHRun1	Rhizoplane	Greenhouse Soil		Nipponebare	2013-05-06	USA: Arbuckle, California
SRR1524681	GHRun1	Endosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Arbuckle, California
SRR1524682	FieldRun1	Endosphere	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524683	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Arbuckle, California
SRR1524684	FieldRun1	Rhizosphere	Rice Paddy	3		2013-07-08	USA: California, Central Valley
SRR1524685	GHRun1	Rhizosphere	Greenhouse Soil		M104	2013-05-06	USA: Arbuckle, California
SRR1524686	FieldRun1	Rhizoplane	Rice Paddy	3		2013-07-08	USA: California, Central Valley
