,mean,sd,min,max,n_iterations,cv_percent,range,range_percent
SRR1524411,6.386631105057125,0.0033865231118367116,6.379468996987188,6.397048237782001,100,0.053025187397392676,0.01757924079481299,0.2752506056110431
SRR1524412,9.175976527267865,0.0076567574390640405,9.156372219086563,9.194683086979436,100,0.08344351597141487,0.03831086789287319,0.417512705912296
SRR1524413,5.934429653945986,0.010364456580707825,5.911746620868898,5.95627837710085,100,0.1746495819327166,0.04453175623195271,0.7503965642653152
SRR1524414,9.941424514511578,0.009767624245512727,9.921739483689077,9.964962449429136,100,0.09825175689112609,0.04322296574005868,0.4347763811611281
SRR1524415,9.508210701194932,0.00550288167514276,9.493150115821418,9.521231075851183,100,0.05787504976568507,0.028080960029765123,0.2953338005670834
SRR1524416,6.436407232447843,0.015883379106344454,6.393630377099523,6.477291222464594,100,0.24677399258194255,0.08366084536507135,1.299806589976348
SRR1524417,9.438595255146833,0.006176459861041312,9.421759560534907,9.453267838572602,100,0.06543833795260273,0.03150827803769474,0.33382380731405326
SRR1524418,9.688948229165765,0.007732122792598053,9.670182544905511,9.706964993966343,100,0.07980353088607434,0.03678244906083172,0.379633043658019
SRR1524420,8.629136637896554,0.01513708684115142,8.576992220457443,8.66761993699818,100,0.17541832371356736,0.09062771654073742,1.0502524220410179
SRR1524421,6.370229661965292,0.02059012285531911,6.314514566902533,6.420905539523869,100,0.3232241841806189,0.10639097262133657,1.6701277389819205
SRR1524422,8.209610659787476,0.015001382106345142,8.169298483287251,8.258943982926212,100,0.1827295194378132,0.0896454996389604,1.091957991114783
SRR1524423,9.133864857169948,0.005853417716066582,9.119096144524006,9.152242517719502,100,0.06408478565863318,0.03314637319549618,0.3628953757672117
SRR1524424,9.841493375651334,0.011263826554537512,9.80930150827476,9.86327699819834,100,0.11445241209433873,0.053975489923580255,0.5484481659777374
SRR1524425,9.104717724549745,0.0020563003906395217,9.099579832881515,9.109269699577371,100,0.02258499881984218,0.009689866695856253,0.10642687658211222
SRR1524426,8.955974266099874,0.01106843929589333,8.932809582971108,8.987214751965888,100,0.12358721638794287,0.054405168994779984,0.6074734850535944
SRR1524427,8.526336087044745,0.007106122946394372,8.505778752867752,8.543507645547047,100,0.08334321886738313,0.037728892679295356,0.44249830518201294
SRR1524428,7.851782903374532,0.013723203379569008,7.816588403262255,7.898679663379825,100,0.17477818157288916,0.08209126011757029,1.0455110785384703
SRR1524429,3.994761652878838,0.019058719949877352,3.9421773518978975,4.050308452425648,100,0.47709279316183034,0.10813110052775077,2.706822331936268
SRR1524430,9.898146031291754,0.009176890189995233,9.872660517189203,9.918889584228657,100,0.09271322287005708,0.0462290670394534,0.46704773695302104
SRR1524431,9.905407913705478,0.010706057810473082,9.879028656744984,9.93627298156746,100,0.10808295734756967,0.05724432482247721,0.5779098177599724
SRR1524432,9.60031774596777,0.005756498483463261,9.585149243404022,9.613654155546469,100,0.05996154123003949,0.02850491214244677,0.2969163406536114
SRR1524433,9.12785500881422,0.009523301302813853,9.102305039871917,9.148305077945215,100,0.10433230253567541,0.046000038073298555,0.5039523308474892
SRR1524434,7.887558251741158,0.008773632061520547,7.86886409828644,7.913206539240149,100,0.11123381636622197,0.04434244095370943,0.5621821042516035
SRR1524435,6.6894029673067,0.01507953366419273,6.655915640242013,6.727939984989282,100,0.22542420807793073,0.07202434474726882,1.0766931682733922
SRR1524436,9.8977413466385,0.007968178470146026,9.88056176996522,9.92067574190006,100,0.08050501817621454,0.04011397193484001,0.4052840999776544
SRR1524437,2.9567566847228735,0.01620518971499289,2.920708544963259,2.996021682448368,100,0.5480731572781326,0.07531313748510904,2.5471537064324883
SRR1524438,9.20102162846527,0.00979677906063147,9.178917356182176,9.234360269813232,100,0.10647490524664241,0.055442913631056356,0.6025734518385675
SRR1524439,9.448272157770637,0.006231442107783296,9.431087768122962,9.461534032116989,100,0.06595324524662755,0.030446263994026168,0.32224160656703715
SRR1524440,9.666384241498063,0.006897900976438025,9.651186845070088,9.686232864150297,100,0.07135968118073704,0.03504601908020888,0.3625556175364447
SRR1524441,4.187382934593349,0.013272063156144587,4.161318779162087,4.232993556779739,100,0.31695365251884905,0.07167477761765184,1.7116843321283781
SRR1524442,9.890099918464,0.009532574700495207,9.870168910730436,9.930489119633313,100,0.09638501915130987,0.06032020890287626,0.6099049493955406
SRR1524443,8.88366299709034,0.007981926709912731,8.867074214245314,8.90083420066496,100,0.08984949915960394,0.03375998641964628,0.3800232677748319
SRR1524444,9.777013010297726,0.010597135521871548,9.752387515400295,9.8013623555027,100,0.10838827268318066,0.048974840102404826,0.5009182257487194
SRR1524445,7.987580314503391,0.013011162825881868,7.952117560619649,8.019122029937497,100,0.1628924194008659,0.06700446931784843,0.8388581607897645
SRR1524446,4.966867059965329,0.015135377254341746,4.931549082569687,5.00700182790346,100,0.3047268443389221,0.07545274533377366,1.5191214989817012
SRR1524447,9.16475129020228,0.005735263650183409,9.150172890745692,9.180023629219216,100,0.06257958856248266,0.02985073847352382,0.3257124773853516
SRR1524448,10.208525083289016,0.01187119998019,10.1793903250301,10.234402107182532,100,0.11628712162957527,0.055011782152432076,0.5388808050487564
SRR1524449,9.578465078434796,0.005549388137048627,9.562062330909198,9.591752318246526,100,0.05793608988085851,0.02968998733732775,0.309966023723076
SRR1524450,9.70959527699661,0.010805765000377119,9.68351450198495,9.737560687090228,100,0.11128955113069941,0.054046185105278255,0.5566265489285761
SRR1524451,7.501704603535595,0.013238965976464205,7.473345565770429,7.538352349742811,100,0.17647943602344202,0.06500678397238246,0.8665601674284056
SRR1524452,3.7702538815479887,0.01398016743040934,3.736887196451588,3.806156755411501,100,0.3708017515433038,0.06926955895991282,1.8372651056451448
SRR1524453,7.700026875453473,0.014339849209883177,7.671647019175099,7.738814036464821,100,0.18623115791448025,0.06716701728972208,0.8722958812499787
SRR1524454,10.138718955940266,0.012866666853873554,10.109606108870056,10.167795214831957,100,0.1269062384487439,0.05818910596190108,0.5739295685655448
SRR1524455,10.097137150642395,0.008356879128606375,10.078887956313174,10.118423708609727,100,0.08276483723977839,0.03953575229655293,0.3915540782174837
SRR1524456,9.976199013024376,0.013549670611298711,9.948779635862104,10.012878418686007,100,0.13581997104918425,0.06409878282390302,0.6425170823097973
SRR1524457,6.589949195239958,0.02066547767089999,6.53196697665665,6.63343006670325,100,0.31359084962031336,0.10146309004659937,1.539664222599592
SRR1524458,2.4321135855217535,0.015456457673006789,2.392845904806902,2.4808829773235392,100,0.6355154531029423,0.08803707251663706,3.619776355870762
SRR1524459,9.97198505616625,0.011163837652799664,9.940887241489476,10.00062550242841,100,0.11195200945368869,0.05973826093893386,0.5990608750661361
SRR1524460,3.3083449136323835,0.018571006166290843,3.2643010171651694,3.3630860819450548,100,0.561338271888371,0.09878506477988536,2.9859360906666987
SRR1524461,9.661251525905557,0.007394703913323299,9.644520442993556,9.681908042598693,100,0.07653981364107158,0.037387599605136046,0.38698505576513986
SRR1524462,9.731405384523635,0.012325698734902302,9.695155393367372,9.762828912045672,100,0.12665897933411044,0.06767351867829952,0.6954136222289564
SRR1524463,7.748212060196311,0.011048588441041422,7.720599167489059,7.781888904938511,100,0.14259532851197534,0.0612897374494521,0.7910178112484345
SRR1524464,1.8747446478295047,0.014297303160717737,1.845739020275676,1.9078789730750485,100,0.7626266957086936,0.062139952799372455,3.31458222170765
SRR1524465,9.697851452413092,0.0079757416837585,9.675765889549224,9.718514778957436,100,0.08224235773145315,0.04274888940821242,0.4408078389113222
SRR1524466,6.3580602890050955,0.01738655590762466,6.317274391317447,6.406608268610486,100,0.27345692109417374,0.08933387729303899,1.4050492325076376
SRR1524467,3.95293250275593,0.018584760035791608,3.881906723075531,3.998820446940556,100,0.47015121110301195,0.11691372386502508,2.9576453375693728
SRR1524468,9.763413835636523,0.011993235136589862,9.734167643907249,9.793506209267754,100,0.1228385412980701,0.05933856536050541,0.6077645212980656
SRR1524469,5.854160509016424,0.017750984750195934,5.802140368215469,5.902489120825182,100,0.30321998726984567,0.10034875260971265,1.7141441963396484
SRR1524471,4.714753480143607,0.017947027157154304,4.6764441874986815,4.759795956807695,100,0.3806567455273962,0.08335176930901333,1.7678924181307252
SRR1524472,9.919941402024122,0.008200946017787068,9.897487168158502,9.938571247827008,100,0.08267131513613275,0.041084079668506135,0.41415647536106515
SRR1524473,7.797781221369878,0.01630260487663421,7.760446803702308,7.833195390119193,100,0.2090672258405609,0.07274858641688464,0.9329395677005735
SRR1524474,7.489984856751918,0.013566531223939832,7.464186392778915,7.529196114401183,100,0.18112895397525608,0.06500972162226848,0.8679553145379839
SRR1524475,2.011846589456196,0.014233218669476357,1.978526414187132,2.0477156902422786,100,0.7074703779140341,0.06918927605514669,3.43909304107768
SRR1524476,9.90377893742053,0.009506148035432507,9.877781260561134,9.930209728400468,100,0.09598505878916976,0.0524284678393343,0.5293784137410226
SRR1524477,10.06525025443317,0.013858831160864803,10.02234961887859,10.095669400730294,100,0.1376898816277397,0.07331978185170485,0.7284446983264191
SRR1524478,9.841986391313425,0.012962649884800165,9.812874142791951,9.874140545662724,100,0.1317076590985845,0.06126640287077301,0.6225003818827364
SRR1524479,8.310732623439241,0.008124660281223266,8.294512646422975,8.330940923000796,100,0.09776105969657614,0.036428276577820995,0.43832810208669465
SRR1524480,7.684398650762957,0.014372049320900757,7.648028048666184,7.716725938601709,100,0.18702893972677753,0.06869788993552461,0.8939917494871749
SRR1524481,3.2176278395663576,0.016189638566648557,3.1728024298233937,3.252303478578692,100,0.5031544782018808,0.07950104875529851,2.4707968950819663
SRR1524540,10.009400562855713,0.010760994591345087,9.987121938891615,10.043024522703282,100,0.10750888151362924,0.05590258381166713,0.5585008159141744
SRR1524541,9.950450720204053,0.009513047056316752,9.91862430379502,9.96992425207773,100,0.09560418240151507,0.05129994828270945,0.5155540158451983
SRR1524542,9.746813666403716,0.01101005463315699,9.719788899003095,9.768619468619988,100,0.11296055316115808,0.048830569616892916,0.5009900803296052
SRR1524559,2.8212485684403363,0.015455553141276102,2.775855965412217,2.859265951090358,100,0.5478267074432353,0.0834099856781414,2.9564919096885083
SRR1524560,9.696121494054758,0.011557205063975562,9.652916338448115,9.733267656984252,100,0.11919410324078489,0.08035131853613642,0.8286954591627628
SRR1524561,7.4782721544660475,0.015665438116020065,7.440666448169039,7.513372825315035,100,0.20947937962734636,0.07270637714599637,0.9722349714509373
