,mean,sd,min,max,n_iterations,cv_percent,range,range_percent
SRR1930866,1.6105638291006255,0.009205982608688957,1.5856659142599565,1.634757496439508,100,0.5715999851946123,0.04909158217955145,3.0480991372422217
SRR1930867,1.6911996158363167,0.011272357495487448,1.6676013172468809,1.7197941599504478,100,0.6665302776758937,0.052192842703566944,3.0861432449981376
SRR1930868,1.352655469474152,0.010478933062900923,1.3315041839151402,1.3850797735705822,100,0.7746934307650886,0.05357558965544196,3.960771302412254
SRR1930869,2.1306167182735987,0.008778185457220594,2.1120954335280584,2.156205391389069,100,0.41200209225493184,0.044109957861010685,2.0702906103521146
SRR1930870,2.2431054582799486,0.00559624527880467,2.229581293371445,2.2589494716185072,100,0.2494864990920207,0.029368178247062282,1.3092642674759618
SRR1930871,2.0143945491851243,0.009097001411229454,1.9874781384198708,2.038817716648865,100,0.45159978291787134,0.051339578228994265,2.5486356806198907
SRR1930872,2.020231542154754,0.005149726220948112,2.00670256145339,2.0322040960267884,100,0.25490772287692715,0.02550153457339821,1.2623075148207314
SRR1930873,2.115087088809007,0.004072400679231278,2.1051759238335963,2.125590746161776,100,0.1925405672786941,0.020414822328179483,0.9652000825968328
SRR1930874,3.1313574362327667,0.0038991421712901296,3.121198299643098,3.141850632835524,100,0.12451923010044677,0.020652333192425765,0.6595329218395428
SRR1930875,2.9944026535098187,0.004356102382385668,2.984602345216241,3.0054628317174603,100,0.14547483710247736,0.02086048650121919,0.6966493459644801
SRR1930876,1.2554854717075106,0.007156245455492014,1.2399010269568569,1.274573702832221,100,0.5699982689372927,0.034672675875364156,2.761694711465512
SRR1930877,1.0087089289305209,0.008967021442267539,0.985187401959392,1.034836506232404,100,0.8889602525651065,0.04964910427301206,4.922044689903984
SRR1930878,1.2652665672028163,0.005029953397704006,1.2516311392010413,1.2758647196875357,100,0.3975410026698135,0.024233580486494377,1.9152944616302225
SRR1930879,3.0044827882616643,0.004408881312997647,2.993269405792854,3.015055137425622,100,0.14674343718069827,0.021785731632767646,0.7251075532162542
SRR1930880,2.9985088771584913,0.0032653099664250143,2.991545211468672,3.0067944228379933,100,0.10889779220928486,0.015249211369321447,0.5085598206990208
SRR1930881,1.4581104299520962,0.008420016216458293,1.436306386844081,1.4812289484175654,100,0.5774608043051251,0.04492256157348429,3.080875127884528
SRR1930882,1.3401225211184618,0.006169074009416768,1.3266864747107043,1.354733141312339,100,0.46033656715716403,0.028046666601634573,2.0928434646577627
SRR1930883,1.807056796901782,0.0065281961012901265,1.789837727274732,1.8229171793794587,100,0.3612612571161454,0.03307945210472685,1.8305706916042659
SRR1930884,2.187906909170624,0.007770349688485501,2.1676085696963128,2.212960174339305,100,0.3551499223260385,0.04535160464299226,2.0728306333738766
SRR1930885,1.6648517510411383,0.009704994562783991,1.639706961196904,1.6893336744372012,100,0.5829344598829799,0.049626713240297216,2.9808487878432692
SRR1930886,1.7558462661682226,0.007518954589448515,1.7376426260308808,1.7729457962508806,100,0.4282239700778078,0.035303170219999735,2.010607130033185
SRR1930887,1.5982068449463949,0.009321834626675667,1.5714114503177734,1.6179045193487114,100,0.5832683457808823,0.04649306903093797,2.909077080851658
SRR1930888,1.3802016662966434,0.007389597023399353,1.3612616971641465,1.3978215640168408,100,0.5353998045247342,0.0365598668526943,2.648878620092651
SRR1930889,1.6045304272938807,0.010896506508368506,1.577055472304111,1.6277292584898366,100,0.6791087487662043,0.0506737861857256,3.158169226568637
SRR1930890,1.9724389627065346,0.006572924061450141,1.955071261289129,1.9921005618901664,100,0.33323840107229113,0.037029300601037374,1.8773356895275803
SRR1930891,2.637175422824464,0.005865511423904486,2.622193282431135,2.6532227702634525,100,0.22241642983394763,0.031029487832317404,1.1766182698261403
SRR1930892,2.561291525117615,0.005664709487219221,2.547566199753572,2.573910434110808,100,0.22116613558697099,0.026344234357235763,1.0285527476621792
SRR1930893,2.5246025973633466,0.006051364963572032,2.505795372372566,2.534993950185976,100,0.23969574339707872,0.029198577813410065,1.156561347275194
SRR1930894,2.026265097282839,0.007610192725247179,2.010157120083811,2.046406293329428,100,0.3755773484650266,0.03624917324561716,1.7889649924990672
SRR1930895,1.3229652520978326,0.008247259568237074,1.3050369676387596,1.343335966345247,100,0.6233920018049872,0.03829899870648745,2.8949361024982734
